2023-04-14 02:07:26,695	__main__	INFO	Started unimore-bda-6 in DEBUG mode!
2023-04-14 02:07:26,696	__main__	DEBUG	Validating configuration...
2023-04-14 02:07:26,698	__main__	DEBUG	Ensuring there are no leftover caches...
2023-04-14 02:07:26,720	__main__.sample_reviews_polar	DEBUG	Selected sample_func: sample_reviews_polar
2023-04-14 02:07:26,720	__main__.sample_reviews_polar.NLTKSentimentAnalyzer	DEBUG	Selected SentimentAnalyzer: NLTKSentimentAnalyzer
2023-04-14 02:07:26,720	__main__	DEBUG	Running garbage collection...
2023-04-14 02:07:26,867	__main__	DEBUG	Collected 19 pieces of garbage!
2023-04-14 02:07:26,867	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer	DEBUG	Selected Tokenizer: PlainTokenizer
2023-04-14 02:07:26,868	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer.1	DEBUG	Run #1
2023-04-14 02:07:26,868	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer.1	DEBUG	Instantiating NLTKSentimentAnalyzer with PlainTokenizer...
2023-04-14 02:07:41,386	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer.1	INFO	Training sentiment analyzer: <NLTKSentimentAnalyzer with <PlainTokenizer> tokenizer>
2023-04-14 02:10:19,246	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer.1	INFO	Training succeeded!
2023-04-14 02:10:19,246	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer.1	INFO	Evaluating sentiment analyzer: <NLTKSentimentAnalyzer with <PlainTokenizer> tokenizer>
2023-04-14 02:11:26,941	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer.1	INFO	Evaluation results: Evaluation results: 1000 evaluated, 0.848 mean absolute error, 3.392 mean squared error, 0.692 recall of 1.0, 0.8564356435643564 precision of 1.0, 0.884 recall of 5.0, 0.7416107382550335 precision of 5.0, 788 perfect matches.
2023-04-14 02:11:27,571	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.PlainTokenizer.1	INFO	Cumulative evaluation results: Evaluation results: 1000 evaluated, 0.848 mean absolute error, 3.392 mean squared error, 0.692 recall of 1.0, 0.8564356435643564 precision of 1.0, 0.884 recall of 5.0, 0.7416107382550335 precision of 5.0, 788 perfect matches.
2023-04-14 02:11:27,572	__main__	DEBUG	Running garbage collection...
2023-04-14 02:11:27,670	__main__	DEBUG	Collected 0 pieces of garbage!
2023-04-14 02:11:27,670	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer	DEBUG	Selected Tokenizer: LowercaseTokenizer
2023-04-14 02:11:27,671	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer.1	DEBUG	Run #1
2023-04-14 02:11:27,671	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer.1	DEBUG	Instantiating NLTKSentimentAnalyzer with LowercaseTokenizer...
2023-04-14 02:11:36,419	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer.1	INFO	Training sentiment analyzer: <NLTKSentimentAnalyzer with <LowercaseTokenizer> tokenizer>
2023-04-14 02:13:36,021	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer.1	INFO	Training succeeded!
2023-04-14 02:13:36,021	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer.1	INFO	Evaluating sentiment analyzer: <NLTKSentimentAnalyzer with <LowercaseTokenizer> tokenizer>
2023-04-14 02:14:30,293	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer.1	INFO	Evaluation results: Evaluation results: 1000 evaluated, 0.88 mean absolute error, 3.52 mean squared error, 0.682 recall of 1.0, 0.8482587064676617 precision of 1.0, 0.878 recall of 5.0, 0.7341137123745819 precision of 5.0, 780 perfect matches.
2023-04-14 02:14:30,425	__main__.sample_reviews_polar.NLTKSentimentAnalyzer.LowercaseTokenizer.1	INFO	Cumulative evaluation results: Evaluation results: 1000 evaluated, 0.88 mean absolute error, 3.52 mean squared error, 0.682 recall of 1.0, 0.8482587064676617 precision of 1.0, 0.878 recall of 5.0, 0.7341137123745819 precision of 5.0, 780 perfect matches.
2023-04-14 02:14:30,426	__main__	DEBUG	Running garbage collection...
2023-04-14 02:14:30,528	__main__	DEBUG	Collected 0 pieces of garbage!
