2023-05-11 02:48:14,590	__main__	INFO	Started unimore-bda-6 in PRODUCTION mode!
2023-05-11 02:49:48,525	__main__.sample_reviews_polar.ThreeCheat.PlainTokenizer.1	INFO	Training sentiment analyzer: <ThreeCheat with <PlainTokenizer> tokenizer>
2023-05-11 02:49:48,526	__main__.sample_reviews_polar.ThreeCheat.PlainTokenizer.1	INFO	Training succeeded!
2023-05-11 02:49:48,526	__main__.sample_reviews_polar.ThreeCheat.PlainTokenizer.1	INFO	Evaluating sentiment analyzer: <ThreeCheat with <PlainTokenizer> tokenizer>
2023-05-11 02:49:48,592	__main__.sample_reviews_polar.ThreeCheat.PlainTokenizer.1	INFO	Evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 3.0, 0.0 precision of 3.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:49:48,734	__main__.sample_reviews_polar.ThreeCheat.PlainTokenizer	INFO	Reached target of 1 runs, moving on...
2023-05-11 02:49:48,735	__main__.sample_reviews_polar.ThreeCheat.PlainTokenizer	INFO	Cumulative evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 2.0, inf precision of 2.0, inf recall of 3.0, 0.0 precision of 3.0, inf recall of 4.0, inf precision of 4.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:50:55,949	__main__.sample_reviews_polar.ThreeCheat.LowercaseTokenizer.1	INFO	Training sentiment analyzer: <ThreeCheat with <LowercaseTokenizer> tokenizer>
2023-05-11 02:50:55,949	__main__.sample_reviews_polar.ThreeCheat.LowercaseTokenizer.1	INFO	Training succeeded!
2023-05-11 02:50:55,950	__main__.sample_reviews_polar.ThreeCheat.LowercaseTokenizer.1	INFO	Evaluating sentiment analyzer: <ThreeCheat with <LowercaseTokenizer> tokenizer>
2023-05-11 02:50:56,012	__main__.sample_reviews_polar.ThreeCheat.LowercaseTokenizer.1	INFO	Evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 3.0, 0.0 precision of 3.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:50:56,145	__main__.sample_reviews_polar.ThreeCheat.LowercaseTokenizer	INFO	Reached target of 1 runs, moving on...
2023-05-11 02:50:56,146	__main__.sample_reviews_polar.ThreeCheat.LowercaseTokenizer	INFO	Cumulative evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 2.0, inf precision of 2.0, inf recall of 3.0, 0.0 precision of 3.0, inf recall of 4.0, inf precision of 4.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:52:02,513	__main__.sample_reviews_polar.ThreeCheat.NLTKWordTokenizer.1	INFO	Training sentiment analyzer: <ThreeCheat with <NLTKWordTokenizer> tokenizer>
2023-05-11 02:52:02,513	__main__.sample_reviews_polar.ThreeCheat.NLTKWordTokenizer.1	INFO	Training succeeded!
2023-05-11 02:52:02,513	__main__.sample_reviews_polar.ThreeCheat.NLTKWordTokenizer.1	INFO	Evaluating sentiment analyzer: <ThreeCheat with <NLTKWordTokenizer> tokenizer>
2023-05-11 02:52:02,585	__main__.sample_reviews_polar.ThreeCheat.NLTKWordTokenizer.1	INFO	Evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 3.0, 0.0 precision of 3.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:52:02,719	__main__.sample_reviews_polar.ThreeCheat.NLTKWordTokenizer	INFO	Reached target of 1 runs, moving on...
2023-05-11 02:52:02,720	__main__.sample_reviews_polar.ThreeCheat.NLTKWordTokenizer	INFO	Cumulative evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 2.0, inf precision of 2.0, inf recall of 3.0, 0.0 precision of 3.0, inf recall of 4.0, inf precision of 4.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:53:07,430	__main__.sample_reviews_polar.ThreeCheat.PottsTokenizer.1	INFO	Training sentiment analyzer: <ThreeCheat with <PottsTokenizer> tokenizer>
2023-05-11 02:53:07,430	__main__.sample_reviews_polar.ThreeCheat.PottsTokenizer.1	INFO	Training succeeded!
2023-05-11 02:53:07,430	__main__.sample_reviews_polar.ThreeCheat.PottsTokenizer.1	INFO	Evaluating sentiment analyzer: <ThreeCheat with <PottsTokenizer> tokenizer>
2023-05-11 02:53:07,493	__main__.sample_reviews_polar.ThreeCheat.PottsTokenizer.1	INFO	Evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 3.0, 0.0 precision of 3.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:53:07,625	__main__.sample_reviews_polar.ThreeCheat.PottsTokenizer	INFO	Reached target of 1 runs, moving on...
2023-05-11 02:53:07,625	__main__.sample_reviews_polar.ThreeCheat.PottsTokenizer	INFO	Cumulative evaluation results: Evaluation results: 1000 evaluated, 2.0 mean absolute error, 4.0 mean squared error, 0.0 recall of 1.0, inf precision of 1.0, inf recall of 2.0, inf precision of 2.0, inf recall of 3.0, 0.0 precision of 3.0, inf recall of 4.0, inf precision of 4.0, 0.0 recall of 5.0, inf precision of 5.0, 0 perfect matches.
2023-05-11 02:54:10,919	__main__.sample_reviews_polar.ThreeCheat.PottsTokenizerWithNegation.1	INFO	Training sentiment analyzer: <ThreeCheat with <PottsTokenizerWithNegation> tokenizer>
